title,cardDescription,description,topics,idExercises
Conversão de polegadas para centímetros,Quinto exercício da lista com o objetivo de aprofundar o aprendizado,"**O problema:**



Implemente o método `tabelaConversao`, que gera uma tabela de conversão de polegadas para centímetros de 1 a 20. Considere que 1 polegada é igual a 2.54 centímetros.



- O método deve gerar e exibir uma tabela de conversão.



## Exemplos:



- A tabela gerada para polegadas de 1 a 3 seria:

  - 1 pol = 2.54 cm

  - 2 pol = 5.08 cm

  - 3 pol = 7.62 cm

- A tabela gerada para polegadas de 1 a 5 seria:

  - 1 pol = 2.54 cm

  - 2 pol = 5.08 cm

  - 3 pol = 7.62 cm

  - 4 pol = 10.16 cm

  - 5 pol = 12.7 cm

",Repetição (Typescript: Lógica de Programação),rw1751554485263b2fea7
Divisibilidade entre dois números,Sexto exercício da lista com o objetivo de aprofundar o aprendizado," **O problema:**



 Crie uma função chamada verificarDivisibilidade que receba dois números inteiros: a e b. A função deve verificar se o número a é divisível por b e retornar uma mensagem indicando o resultado.



## Exemplos:



verificarDivisibilidade(10, 2);



Entrada: 10 e 2 → Saída: ""10 é divisível por 2""



verificarDivisibilidade(10, 3);



Entrada: 10 e 3 → Saída: ""10 não é divisível por 3""



verificarDivisibilidade(20, 5);



Entrada: 20 e 5 → Saída: ""20 é divisível por 5""



",Condicionais (Typescript: Lógica de Programação),rw175155278352465b47e
Exibir números ímpares entre M e N,Segundo exercício da lista com o objetivo de aprofundar o aprendizado,"**O problema:**



Implemente o método `mostrarImparesEntreMeN`, que recebe dois valores numéricos inteiros M e N e exibe apenas os números ímpares no intervalo de M a N.



- O método deve iterar de M até N e exibir apenas os números ímpares.

 

## Exemplos:



- Para a entrada `M = 3` e `N = 10`, a saída deve ser: `3, 5, 7, 9`.

- Para a entrada `M = 15` e `N = 20`, a saída deve ser: `15, 17, 19`.

- Para a entrada `M = 1` e `N = 5`, a saída deve ser: `1, 3, 5`.



",Repetição (Typescript: Lógica de Programação),rw17515539124722dfb74
Ordem descendente,Nono exercício da lista com o objetivo de aprofundar o aprendizado,"**O problema:**



 Crie uma função chamada ordenarDescendente que receba três números inteiros. A função deve retornar os três valores em ordem decrescente.



## Exemplos:



ordenarDescendente(3, 1, 2);



Entrada: 3, 1, 2 → Saída: ""3, 2, 1""

 

ordenarDescendente(5, 8, 2);



Entrada: 5, 8, 2 → Saída: ""8, 5, 2""

",Condicionais (Typescript: Lógica de Programação),rw1751552876958039585
Vetor pares dobro e impares triplo,Primeiro exercício da lista com o objetivo de garantir que o teste seja bem-sucedido,"**O problema:**

Implemente um método que leia um vetor de 30 números inteiros e gere um segundo vetor. As posições pares devem ser o dobro do vetor original, e as ímpares, o triplo.

- O método deve percorrer os 30 números inteiros do vetor.
- Se a posição for par, o valor será multiplicado por 2.
- Se a posição for ímpar, o valor será multiplicado por 3.

### Exemplo:

- Quando a entrada for `[1, 2, 3, 4, 5]`, a saída deve ser `[3, 4, 9, 8, 15]`.

",Array Simples,rw1727886436829261856
Vetores positivos negativos,Primeiro exercício da lista com o objetivo de aprofundar o aprendizado," **O problema:**



Crie um método que preencha um vetor com 8 números inteiros e, a partir dele, separe os números em dois novos vetores: um para positivos e outro para negativos. (Zero deve ser considerado positivo).



- O método deve percorrer os 8 números do vetor original.

- Positivos e zero devem ser adicionados a um vetor.

- Números negativos devem ser adicionados a outro vetor.



### Exemplo:



- Quando a entrada for `[-1, 0, 2, -3, 4, -5]`, a saída deve ser:

  - Positivos: `[0, 2, 4]`

  - Negativos: `[-1, -3, -5]`.

"," Array simples  (Typescript: Lógica de Programação)",rw1751553325597a32e1b
Adicionando Elementos Multimídia,Adicione imagens e vídeos à sua página. Torne seu conteúdo mais interativo e envolvente,"**Objetivo**

Nesse exercício, você irá aprimorar sua página profissional criada anteriormente, incorporando elementos multimídia como imagens e vídeos. O objetivo é aprender a adicionar conteúdo multimídia de forma acessível e responsiva, tornando a página mais rica e interativa para os usuários.

**Instruções**

1. **Inserir Imagens com Acessibilidade**

   - Adicione imagens relevantes às diferentes seções da sua página, como:
     - Uma foto de perfil na seção de biografia.
     - Imagens de projetos na seção de portfólio.
     - Gráficos ou ilustrações que complementem seu conteúdo.
   - Certifique-se de que todas as imagens incluem uma descrição alternativa (atributo `alt`) que descreva o conteúdo da imagem de forma clara e concisa.
   - Garanta que as imagens sejam responsivas, adaptando-se ao tamanho da tela do dispositivo usado pelo visitante.

2. **Adicionar Vídeos**

   - Incorpore um vídeo que seja relevante para sua área de atuação ou que destaque um projeto específico.
   - Inclua controles de reprodução para que o usuário possa iniciar, pausar ou ajustar o volume do vídeo.
   - Forneça legendas ou transcrições para tornar o vídeo acessível a todos os usuários (opcional).

3. **Acessibilidade e Responsividade**

   - Verifique se os elementos multimídia não comprometem a acessibilidade da sua página.
   - Assegure-se de que o conteúdo multimídia seja responsivo e funcione bem em diferentes dispositivos e tamanhos de tela, como celulares, tablets e desktops.

4. **Compatibilidade de Formatos**

   - Utilize formatos de arquivo amplamente suportados pelos navegadores:
     - Para imagens, prefira formatos como JPEG ou PNG.
     - Para gráficos vetoriais, considere usar SVG.
     - Para vídeos, utilize formatos compatíveis como MP4.
   - Teste sua página em diferentes navegadores para garantir que todos os elementos multimídia sejam exibidos corretamente.

**Ao finalizar este exercício, você terá:**

- Uma página profissional enriquecida com imagens e vídeos relevantes.
- Melhorado a experiência do usuário através de conteúdo interativo e visual.
- Aplicado práticas de acessibilidade, garantindo que sua página seja inclusiva para todos os visitantes.

**Observação**

- O foco deste exercício é a incorporação correta e acessível de elementos multimídia, não se preocupe com estilos avançados de design.
- Continue aprimorando sua página com base nos conhecimentos adquiridos, tornando-a cada vez mais completa e profissional.",Elementos Multimídia,rw1730914094155257784
Adicionando Links,Neste exercício você adicionará links internos e externos para facilitar a navegação e tornar seu portfólio online mais completo,"Como já vimos no exercício anterior, você construiu a estrutura básica da sua página HTML e organizou as seções principais usando tags semânticas. Agora, vamos acrescentar links internos e externos para melhorar a navegação e tornar sua página mais completa.

1. **Links Internos (Âncoras)**

   Para facilitar a navegação entre as seções da página, adicione links internos na barra de navegação utilizando o atributo `href=""#id-da-secao""`. O `#` antes do nome do id indica um link âncora, direcionando o usuário para uma parte específica da página.  

   Lembre-se de definir o atributo `id` em cada seção correspondente.

2. **Links Externos**

   Inclua links externos para suas redes sociais ou portfólios online na seção de contato. Utilize o atributo `target=""_blank""` para abrir o link em uma nova aba.

3. **Validação dos Links**

   Após incluir os links, teste a navegação interna e externa para garantir que todos funcionam corretamente.



",Estrutura de Páginas Web e Links,rw173091287683887ea99
Aplicando Design Responsivo na Página,Aprenda a adaptar sua página para qualquer dispositivo criando um design responsivo e intuitivo,"
**Objetivo**

Praticar o design responsivo, aplicando ajustes no layout, fontes e imagens para melhorar a visualização em diferentes dispositivos.

**Instruções**

1. **Configuração da Viewport**

   Comece configurando o viewport no HTML para que o site se adapte ao tamanho da tela do dispositivo. Isso ajudará a ajustar o conteúdo e a melhorar a navegação em telas menores.

2. **Uso de Media Queries**

   Adicione media queries no CSS para definir estilos específicos para diferentes tamanhos de tela. Experimente ajustes em elementos como o tamanho das fontes, largura de contêineres e organização dos blocos de conteúdo. 

3. **Imagens Adaptáveis**

   Adapte as imagens da sua página para diferentes resoluções, configurando tamanhos flexíveis ou utilizando imagens de diferentes tamanhos conforme o dispositivo. Isso otimizará o carregamento e garantirá que as imagens se ajustem ao layout responsivo.

4. **Unidades Flexíveis**

   Experimente utilizar unidades flexíveis como `%`, `em`, e `vw/vh` em vez de valores fixos para largura, altura e espaçamento. Isso fará com que os elementos da página se ajustem automaticamente à tela do usuário, criando um layout fluido.

**Resultado Esperado**

Sua página deve se ajustar de forma harmoniosa a diferentes tamanhos de tela, com elementos reorganizados e adaptados para uma melhor usabilidade em qualquer dispositivo.

**Dicas Adicionais**

- Teste a página em diferentes dispositivos ou use as ferramentas do navegador para visualizar o layout responsivo.
- Mantenha a consistência visual entre os dispositivos, mas aproveite para ajustar pequenos detalhes que melhorem a experiência em cada tamanho de tela.
- Lembre-se de revisar o layout final para garantir uma navegação confortável e uma apresentação visual clara e organizada.",Design responsivo,rw1731004790634193480
Aplicando diferentes tipos de CSS,Aprenda a aplicar diferentes tipos de CSS para transformar e organizar o visual da sua página de forma prática e fácil,"**Objetivo**

Aplicar estilos CSS na sua página de portfólio ou currículo online, melhorando a aparência visual e a organização de elementos. O foco é entender e experimentar os diferentes tipos de CSS, usando cada um deles para situações específicas, conforme necessário. 

**Instruções**

1. **Aplicação do CSS Inline**

   Comece aplicando estilos diretamente nos elementos da sua página com CSS Inline. Esse tipo de CSS é ótimo para ajustes rápidos e específicos, então escolha alguns elementos para estilizar diretamente. Por exemplo, altere a cor e o tamanho do texto de um título ou destaque uma frase especial aplicando uma cor diferente ou um estilo de fonte exclusivo. Lembre-se de usar o atributo `style` diretamente nos elementos HTML para definir essas propriedades.

2. **Aplicação do CSS Interno**

   Agora, vamos adicionar o CSS Interno. Insira o CSS no cabeçalho da página, dentro da tag `` no `` do seu documento HTML. Este tipo de CSS permite aplicar estilos a vários elementos da mesma página. 

   Por exemplo, defina um estilo para todos os parágrafos da página, alterando a cor do texto, o tamanho da fonte ou o espaçamento entre as linhas. Adicione estilos também para títulos e seções, ajustando margens, alinhamentos ou cores para melhorar a estrutura visual da página.

3. **Criação e Vinculação de um Arquivo CSS Externo**

   Depois de experimentar os estilos Inline e Interno, é hora de criar um arquivo CSS externo. Crie um novo arquivo com a extensão `.css`, por exemplo, `styles.css`. Esse arquivo irá centralizar todos os estilos que você deseja aplicar em toda a sua página. Assim, o HTML ficará mais limpo e organizado, e você poderá reutilizar esses estilos em várias páginas no futuro.

   No seu arquivo CSS externo, defina o estilo padrão para elementos como o corpo da página, títulos, parágrafos e botões. Você pode, por exemplo, definir a fonte padrão, a cor de fundo e o espaçamento dos elementos principais. Depois, vincule o arquivo CSS ao seu HTML usando a tag `` dentro da seção ``. Dessa forma, os estilos do arquivo externo serão aplicados automaticamente à sua página.

4. **Prática de Consistência e Reutilização**

   Após aplicar esses três tipos de CSS, compare e veja quais estilos se repetem ou são mais adequados para o CSS Externo. Lembre-se que o CSS Externo é ideal para manter estilos consistentes e reutilizáveis. Deixe no CSS Interno apenas estilos específicos para essa página, que não serão utilizados em outras. E utilize CSS Inline somente em casos muito pontuais, para ajustes de última hora ou para personalizações únicas.

**Resultado Esperado**

Com este exercício, sua página terá um visual mais organizado e profissional. Ao experimentar os três tipos de CSS, você terá uma noção prática de quando usar cada um deles e entenderá como aplicar estilos de forma eficiente e estratégica.

**Dicas Adicionais**

- Ao finalizar, revise sua página para garantir que todos os estilos foram aplicados corretamente.
- Tente manter o CSS Externo bem organizado, agrupando estilos semelhantes, o que facilitará a manutenção no futuro.
- Use sua criatividade para estilizar a página do jeito que preferir!
- Embora manter os estilos em um arquivo externo seja uma boa prática, o objetivo aqui é explorar as diferentes formas de aplicar CSS.
",Estilos.css,rw17309852666022c4de8
